03158414-n,none
03172432-n,none
03172432-n,none
03174211-n,none
03174211-n,none
03174991-n,none
03186005-n,none
03186005-n,none
03189995-n,none
03189995-n,none
03190303-n,none
03190303-n,none
03191967-n,none
03191967-n,none
03192142-n,none
03192142-n,none
03192347-n,none
03192347-n,none
03195118-n,none
03195118-n,none
03197804-n,none
03197804-n,none
03198637-n,none
03198637-n,none
03198951-n,none
03198951-n,none
03199142-n,none
03203225-n,none
03203225-n,none
03203441-n,none
03203441-n,none
03203441-n,none
03214051-n,none
03214051-n,none
03229656-n,none
03229656-n,none
03229905-n,none
03229905-n,none
03229905-n,none
03229905-n,none
03230247-n,none
03230247-n,none
03245075-n,none
03256032-n,none
03268142-n,none
03283717-n,none
03285106-n,none
03285106-n,none
03285348-n,none
03285348-n,none
03287459-n,none
03287459-n,none
03289819-n,none
03295357-n,none
03295357-n,none
03295357-n,none
03295357-n,none
03295357-n,none
03295357-n,none
03296759-n,none
03296759-n,none
03298211-n,none
03298211-n,none
03299006-n,none
03299006-n,none
03299648-n,none
03299648-n,none
03299788-n,none
03299788-n,none
03300578-n,none
03300578-n,none
03300578-n,none
03300907-n,none
03300907-n,none
03319858-n,none
03319858-n,none
03328392-n,none
03328392-n,none
03328392-n,none
03328650-n,none
03328650-n,none
03329058-n,none
03329180-n,none
03342863-n,103347602-n
03342863-n,103347602-n
03362393-n,none
03362393-n,none
03370020-n,none
03370020-n,none
03370927-n,none
03370927-n,none
03370927-n,none
03370927-n,none
03371363-n,none
03371363-n,none
03371363-n,none
03371532-n,none
03371532-n,none
03372656-n,none
03372656-n,none
03385295-n,none
03397947-n,none
03406597-n,none
03406597-n,none
03409070-n,none
03409070-n,none
03433079-n,none
03433079-n,none
03435382-n,none
03435382-n,none
03440024-n,none
03440024-n,none
03441778-n,none
03441778-n,none
03441930-n,none
03441930-n,none
03441930-n,none
03460674-n,none
03460674-n,none
03464266-n,none
03464266-n,none
03480186-n,none
03480186-n,none
03496486-n,none
03514974-n,none
03514974-n,none
03514974-n,none
03534776-n,none
03549199-n,none
03549199-n,none
03550671-n,none
03550671-n,none
03552169-n,none
03552169-n,none
03552169-n,none
03552169-n,none
03553708-n,none
03553708-n,none
03553708-n,none
03553908-n,none
03553908-n,none
03554131-n,none
03554131-n,none
03554131-n,none
03554131-n,none
03556281-n,none
03556281-n,none
03556281-n,none
03556281-n,none
03556281-n,none
03559531-n,none
03559531-n,none
03561889-n,none
03561889-n,none
03561889-n,none
03561889-n,none
03567325-n,none
03567325-n,none
03568430-n,none
03568430-n,none
03568653-n,none
03568653-n,none
03569657-n,none
03569657-n,none
03584111-n,none
03584111-n,none
03587442-n,none
03587442-n,none
03587715-n,none
03587715-n,none
03587715-n,none
03587874-n,none
03587874-n,none
03588046-n,none
03588046-n,none
03588668-n,none
03588668-n,none
03594523-n,none
03608356-n,none
03608356-n,none
03608661-n,none
03612134-n,none
03612134-n,none
03612134-n,none
03612134-n,none
03612378-n,none
03612378-n,none
03612559-n,none
03612559-n,none
03612559-n,none
03617834-n,none
03630544-n,none
03630544-n,none
03630544-n,none
03630544-n,none
03644698-n,none
03654086-n,none
03654086-n,none
03655295-n,none
03655295-n,none
03658373-n,none
03658373-n,none
03660124-n,none
03660124-n,none
03662016-n,none
03662016-n,none
03668803-n,none
03670622-n,none
03670622-n,none
03674731-n,none
03675235-n,none
03675235-n,none
03677308-n,none
03677308-n,none
03677308-n,none
03680355-n,none
03685962-n,none
03687604-n,none
03689840-n,none
03690005-n,none
03690005-n,none
03693089-n,none
03693089-n,none
03694490-n,none
03694490-n,none
03695857-n,none
03718056-n,none
03718056-n,none
03725506-n,none
03732020-n,none
03732828-n,none
03736809-n,none
03736809-n,none
03739136-n,none
03739136-n,none
03739136-n,none
03739327-n,none
03739327-n,none
03739327-n,none
03742531-n,none
03742531-n,none
03742728-n,none
03742728-n,none
03742728-n,none
03742728-n,none
03743577-n,none
03743577-n,none
03747103-n,none
03747103-n,none
03747103-n,none
03747281-n,none
03747281-n,none
03747508-n,none
03747508-n,none
03747746-n,none
03747746-n,none
03747746-n,none
03747746-n,none
03748002-n,none
03748002-n,none
03748456-n,none
03748456-n,none
03752649-n,none
03752649-n,none
03753657-n,none
03753657-n,none
03753826-n,none
03753826-n,none
03754822-n,none
03754822-n,none
03754979-n,none
03754979-n,none
03755140-n,none
03755140-n,none
03755140-n,none
03755545-n,none
03755545-n,none
03755991-n,none
03755991-n,none
03755991-n,none
03756624-n,none
03756624-n,none
03756857-n,none
03756857-n,none
03757428-n,none
03757428-n,none
03757925-n,none
03757925-n,none
03758720-n,none
03758720-n,none
03759795-n,none
03761845-n,none
03761845-n,none
03762809-n,none
03762809-n,none
03771066-n,none
03771066-n,none
03771820-n,none
03771820-n,none
03771820-n,none
03774673-n,none
03774673-n,none
03774842-n,none
03774842-n,none
03777568-n,none
03778135-n,none
03780896-n,none
03780896-n,none
03804048-n,none
03804048-n,none
03804311-n,none
03804311-n,none
03804493-n,none
03804493-n,none
03806381-n,none
03806381-n,none
03807052-n,none
03807052-n,none
03807052-n,none
03807895-n,none
03807895-n,none
03808144-n,none
03808144-n,none
03808144-n,none
03808144-n,none
03817062-n,none
03817062-n,none
03817830-n,none
03817830-n,none
03818090-n,none
03818090-n,none
03818090-n,none
03818629-n,none
03818843-n,none
03818843-n,none
03821259-n,none
03821259-n,none
03824014-n,none
03824014-n,none
03826443-n,none
03826443-n,none
03826762-n,none
03826762-n,none
03830111-n,none
03830278-n,none
03830448-n,none
03830582-n,none
03830582-n,none
03837157-n,none
03837157-n,none
03837157-n,none
03855756-n,none
03856148-n,none
03856148-n,none
03866555-n,none
03866908-n,none
03867070-n,none
03867201-n,none
